1727644736.613875 server started (428626): version 3.3a, socket /tmp/tmux-1000/default, protocol 8
1727644736.614199 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1727644736.614201 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1727644736.614204 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1727644736.614206 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1727644736.614208 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1727644736.614210 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1727644736.614212 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1727644736.614214 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1727644736.614216 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1727644736.614218 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1727644736.614221 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1727644736.614223 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1727644736.614225 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1727644736.614227 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1727644736.614229 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1727644736.614232 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1727644736.614234 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1727644736.614236 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1727644736.614238 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1727644736.614240 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1727644736.614242 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1727644736.614245 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1727644736.614248 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1727644736.614251 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1727644736.614253 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1727644736.614255 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1727644736.614257 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1727644736.614260 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1727644736.614262 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1727644736.614264 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1727644736.614266 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1727644736.614268 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1727644736.614271 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1727644736.614273 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1727644736.614275 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1727644736.614277 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1727644736.614279 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1727644736.614282 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1727644736.614286 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1727644736.614290 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1727644736.614293 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1727644736.614297 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1727644736.614300 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1727644736.614307 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1727644736.614310 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1727644736.614314 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1727644736.614317 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1727644736.614321 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1727644736.614324 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1727644736.614328 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1727644736.614331 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1727644736.614334 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1727644736.614338 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1727644736.614341 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1727644736.614344 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1727644736.614349 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1727644736.614353 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1727644736.614356 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1727644736.614360 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1727644736.614363 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1727644736.614367 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1727644736.614370 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1727644736.614374 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1727644736.614377 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1727644736.614380 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1727644736.614384 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1727644736.614387 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1727644736.614397 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1727644736.614402 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1727644736.614406 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1727644736.614409 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1727644736.614413 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1727644736.614416 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1727644736.614420 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1727644736.614423 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1727644736.614427 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1727644736.614430 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1727644736.614435 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1727644736.614439 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1727644736.614442 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1727644736.614446 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1727644736.614449 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1727644736.614452 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1727644736.614456 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1727644736.614459 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1727644736.614463 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1727644736.614466 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
